anio,siniestros,fallecidos,lesionados_graves,lesionados_menos_graves,lesionados_leves,total_lesionados
2000,9534,728,2709,1562,5213,9484
2001,8746,718,2515,1500,4808,8823
2002,8087,690,2287,1283,4554,8124
2003,8083,758,2355,1159,4596,8110
2004,8068,783,2236,1008,4845,8089
2005,7695,693,2025,914,4869,7808
2006,7671,645,1899,870,5064,7833
2007,8643,645,2145,1001,5886,9032
2008,8831,695,2129,998,6104,9231
2009,8174,554,1860,845,5694,8399
2010,8247,605,1972,821,5686,8479
2011,8339,587,1820,867,5777,8464
2012,8225,568,1753,771,5816,8340
2013,8868,609,1930,810,6252,8992
2014,8546,597,1909,741,5913,8563
2015,8640,542,1963,682,6126,8771
2016,8897,576,2127,737,6133,8997
2017,8899,524,2088,770,6112,8970
2018,8315,511,1858,823,5704,8385
2019,8110,525,1818,760,5529,8107
2020,4148,383,1031,444,2580,4055
2021,4782,378,1249,498,2981,4728
2022,5945,448,1517,584,3742,5843
2023,5699,444,1462,517,3652,5631
2024,5526,396,1388,501,3487,5376
2025,5439,386,1460,523,3466,5449
