anio,siniestros,fallecidos,lesionados_graves,lesionados_menos_graves,lesionados_leves,total_lesionados
2000,17181,527,2745,2632,13342,18719
2001,19565,432,2473,2360,12220,17053
2002,21158,539,2758,2639,13832,19229
2003,24780,604,3103,2726,15585,21414
2004,26071,613,3013,2542,16465,22020
2005,26060,579,3005,2277,18000,23282
2006,24536,592,2934,2125,17632,22691
2007,27644,593,2881,2198,19276,24355
2008,29809,663,2977,2335,20272,25584
2009,30822,553,2869,2028,20433,25330
2010,31683,540,2892,2017,21250,26159
2011,34047,514,2940,2088,21501,26529
2012,33257,511,2754,1849,21208,25811
2013,41187,539,3225,2121,25007,30353
2014,44150,589,3277,1965,24180,29422
2015,43843,660,3534,1841,23849,29224
2016,49932,589,3968,2104,25834,31906
2017,50796,531,3731,1959,25154,30844
2018,49283,579,3637,1984,23911,29532
2019,53716,608,3881,2144,25300,31325
2020,40021,588,3524,1882,18732,24138
2021,50805,663,4416,2345,23767,30528
2022,58483,761,5043,2529,25609,33181
2023,59024,788,4839,2403,23810,31052
2024,59625,691,4647,2310,22875,29832
2025,58479,716,4982,2417,23256,30655
