anio,imprudencia_peaton_siniestros,imprudencia_peaton_fallecidos,imprudencia_peaton_lesionados_graves,imprudencia_peaton_lesionados_menos_graves,imprudencia_peaton_lesionados_leves,imprudencia_peaton_total_lesionados,alcohol_peaton_siniestros,alcohol_peaton_fallecidos,alcohol_peaton_lesionados_graves,alcohol_peaton_lesionados_menos_graves,alcohol_peaton_lesionados_leves,alcohol_peaton_total_lesionados
2000,5746,436,1679,952,2945,5576,721,123,242,101,288,631
2001,5143,407,1497,875,2682,5054,598,121,203,101,228,532
2002,4635,376,1352,729,2481,4562,612,145,190,82,240,512
2003,4583,408,1405,662,2413,4480,666,176,214,75,280,569
2004,4531,396,1327,592,2571,4490,707,193,228,86,265,579
2005,3929,378,1040,501,2333,3874,642,156,209,63,255,527
2006,4141,382,1062,475,2548,4085,657,130,184,72,319,575
2007,4140,375,1125,492,2542,4159,696,126,217,88,313,618
2008,3896,398,1051,423,2423,3897,721,133,205,94,357,656
2009,3573,325,891,410,2192,3493,554,96,155,65,269,489
2010,3438,339,944,346,2084,3374,493,91,151,52,234,437
2011,3173,361,783,350,1894,3027,478,67,128,58,251,437
2012,3010,356,722,271,1877,2870,464,66,140,56,228,424
2013,3125,381,786,326,1849,2961,443,83,112,55,211,378
2014,2809,384,703,250,1631,2584,379,51,119,38,181,338
2015,2606,335,679,202,1559,2440,348,39,108,33,180,321
2016,2637,365,696,235,1511,2442,402,63,122,37,205,364
2017,2549,354,674,240,1428,2342,283,30,92,35,138,265
2018,2288,337,597,231,1234,2062,250,17,73,36,125,234
2019,2218,380,537,219,1191,1947,216,14,65,36,98,199
2020,1214,256,305,128,603,1036,143,22,38,19,64,121
2021,1302,276,368,111,601,1080,116,2,41,18,54,113
2022,1549,295,463,160,679,1302,160,12,60,24,68,152
2023,1804,290,547,161,880,1588,125,9,54,16,52,122
2024,1691,282,495,156,775,1426,98,6,39,17,41,97
2025,1457,273,491,138,652,1281,107,19,38,16,33,87
