anio,distraccion_peaton_siniestros,distraccion_peaton_fallecidos,distraccion_conductor_siniestros,distraccion_conductor_fallecidos
2000,3722,174,11,8
2001,3153,161,97,9
2002,2886,167,824,52
2003,2737,108,217,32
2004,2554,69,266,61
2005,2307,48,421,63
2006,2224,56,499,69
2007,2352,49,3955,89
2008,2149,54,6488,105
2009,1928,45,9532,94
2010,1961,50,10453,101
2011,1703,51,12982,82
2012,1592,62,14461,86
2013,1644,63,19153,119
2014,1455,85,22132,102
2015,1280,22,22221,113
2016,1261,17,25092,91
2017,1214,29,25046,123
2018,1060,58,24631,150
2019,969,37,27651,141
2020,473,10,21756,186
2021,497,28,27065,223
2022,594,55,31432,284
2023,674,59,32329,228
2024,554,60,35550,232
2025,654,86,32999,159
