anio,siniestros,fallecidos,lesionados_graves,lesionados_menos_graves,lesionados_leves,total_lesionados,total_victimas,tasa_motorizacion,vehiculos_cada_100_hab
1972,26727,1792,6590,5624,11027,23241,25033,24.69887612997801,4.0487672181418
1973,23480,1719,6020,5153,10079,21252,22971,24.118185495742843,4.146248896611697
1974,18356,1269,4935,3763,7938,16636,17905,23.75966203742358,4.208814074985204
1975,16602,1054,4208,3479,7142,14829,15883,23.36410713203932,4.2800694002498165
1976,17716,1079,4322,3456,7355,15133,16212,22.67016772914436,4.411083375948816
1977,19638,1071,4566,4125,7961,16652,17723,20.844062390602513,4.797529297603941
1978,19623,1207,5397,4316,9424,19137,20344,18.42999688023493,5.42593689243887
1979,21506,1309,5961,5397,10386,21744,23053,18.10949509554245,5.521965105731438
1980,25606,1434,6287,5925,11993,24205,25639,14.017126621340225,7.134129747230511
1981,33536,1552,6895,6927,15031,28853,30405,13.162540930990293,7.597317305548271
1982,55272,1274,7532,8579,17870,33981,35255,12.64901084525976,7.905756523046638
1983,47889,1363,7338,7506,16338,31182,32545,12.801706752804575,7.8114584196433166
1984,39207,1210,7128,7352,15351,29831,31041,12.807224836827494,7.808092797156767
1985,30751,1049,4421,4106,11767,20294,21343,12.812444683473009,7.804911745608682
1986,35268,1191,4794,4832,14359,23985,25176,12.79654547645663,7.814609043040735
1987,32790,1198,4990,4946,14735,24671,25869,12.893285475318967,7.7559750143922175
1988,34226,1248,5564,5147,16547,27258,28506,12.931202027097621,7.733233135670433
1989,37217,1465,6217,5768,19439,31424,32889,12.731051652091077,7.854810641945277
1990,39479,1587,6788,6326,21391,34505,36092,12.268142331050765,8.151193334862054
1991,40368,1602,7295,6461,22618,36374,37976,11.430828295835271,8.748272427155099
1992,43402,1700,7983,7215,25145,40343,42043,10.073874514099858,9.926667228188657
1993,44837,1760,8298,7151,26334,41783,43543,9.422267581131175,10.613156455061603
1994,44236,1762,8231,7207,26208,41646,43408,9.378470029298382,10.66272000524601
1995,50790,1890,8830,8017,28982,45829,47719,8.575179829329679,11.661563021450592
1996,57775,1925,9615,8508,32436,50559,52484,7.99255696587934,12.511640570959386
1997,52394,1883,9510,8601,32546,50657,52540,7.440272708027116,13.440367567725389
1998,49890,1959,9327,8243,34620,52190,54149,7.407544047695492,13.499750977668542
1999,47052,1655,8531,7582,34398,50511,52166,7.0835046659491745,14.117305587544243
2000,40926,1698,8090,6929,31639,46658,48356,7.232894678125096,13.825723233940677
2001,44831,1562,7329,6567,31448,45344,46906,7.1544552472064105,13.977304566835727
2002,41734,1549,7317,6284,30521,44122,45671,7.063946363988022,14.156392878320782
2003,44450,1703,7497,5772,32066,45335,47038,7.03896313994873,14.206637826026233
2004,46620,1757,7166,5332,34012,46510,48267,6.8044085417036975,14.696354486522626
2005,46328,1626,6844,4878,36070,47792,49418,6.462641743571866,15.473548429241966
2006,44839,1652,6515,4490,36020,47025,48677,6.1447835352226505,16.273966271844692
2007,53682,1645,7374,4977,41659,54010,55655,5.843320930265492,17.11355600580653
2008,57087,1782,7488,5119,42679,55286,57068,5.519873306759729,18.116357829723796
2009,56330,1508,6748,4377,41050,52175,53683,5.376328092745409,18.600055330502578
2010,57746,1595,6899,4321,41744,52964,54559,5.055851196984882,19.77906312979231
2011,62834,1573,6724,4454,43034,54212,55785,4.721427072391454,21.180036981774013
2012,61791,1523,6570,3920,42735,53225,54748,4.389829118050647,22.779929995180797
2013,73276,1623,7430,4416,47746,59592,61215,4.135874169967094,24.17868530095915
2014,78445,1630,7457,4012,46416,57885,59515,3.900276754867506,25.6392062115082
2015,79880,1646,7773,3791,46381,57945,59591,3.789920924074904,26.38577479671541
2016,91711,1675,8830,4344,50389,63563,65238,3.667019892379375,27.270100227112266
2017,94879,1483,8534,4201,49436,62171,63654,3.5397736029640683,28.25039429534813
2018,89311,1507,7859,4092,45988,57939,59446,3.373808374227913,29.640094785432126
2019,89983,1617,7752,4065,45932,57749,59366,3.341351764100819,29.928007303628117
2020,64707,1485,6430,3378,32295,42103,43588,3.480201282563768,28.73397021632403
2021,80751,1688,8103,4142,39683,51928,53616,3.2247183093860055,31.01046057540457
2022,86050,1745,8536,4141,39913,52590,54335,3.17163026252061,31.529526370619998
2023,78238,1635,7527,3614,34538,45679,47314,3.052717906711811,32.75769430910617
2024,75653,1439,7023,3383,31994,42400,43839,2.958663819039306,33.799041092972345
2025,73081,1507,7060,3392,31253,41705,43212,2.843713495568885,35.165286571879136
