anio,fallecidos,lesionados_graves,lesionados_menos_graves,lesionados_leves,total_lesionados
2000,743,2732,1571,5115,9418
2001,741,2553,1502,4773,8828
2002,705,2290,1289,4371,7950
2003,786,2347,1138,4433,7918
2004,816,2247,997,4729,7973
2005,712,2030,908,4702,7640
2006,667,1909,854,4860,7623
2007,660,2172,1016,5744,8932
2008,713,2141,1003,5978,9122
2009,575,1873,848,5493,8214
2010,627,1985,834,5560,8379
2011,608,1857,867,5684,8408
2012,583,1779,783,5629,8191
2013,631,1975,814,6076,8865
2014,615,1940,757,5790,8487
2015,564,2003,693,5999,8695
2016,603,2193,749,6023,8965
2017,537,2138,785,6030,8953
2018,537,1904,831,5589,8324
2019,533,1827,752,5223,7802
2020,401,1058,459,2482,3999
2021,388,1276,510,2855,4641
2022,469,1540,593,3582,5715
2023,457,1455,517,3453,5425
2024,404,1406,503,3325,5234
2025,400,1460,520,3253,5233
