anio,fallecidos,parque_vehicular,tasa_fallecidos_cada_10000_vehiculos
1990,1587,1074228.0,14.77340006032239
1991,1602,1174194.0,13.643401345944538
1992,1700,1356503.0,12.532224403484548
1993,1760,1476128.0,11.923085260898784
1994,1762,1508957.0,11.676939767004626
1995,1890,1678675.0,11.258879771248157
1996,1925,1826137.0,10.541377782718383
1997,1883,1988647.0,9.468749355717732
1998,1959,2024510.0,9.67641552770794
1999,1655,2145437.0,7.7140461360552655
2000,1698,2128855.0,7.976118617754614
2001,1562,2176501.0,7.17665647752976
2002,1549,2218062.0,6.9835739487895285
2003,1703,2195878.0,7.755439965243971
2004,1757,2298620.0,7.643716664781477
2005,1626,2351662.0,6.91425893687103
2006,1652,2657892.0,6.215451944623784
2007,1645,2824570.0,5.823895318579465
2008,1782,3023050.0,5.89470898595789
2009,1508,3139088.0,4.803943056072337
2010,1595,3375523.0,4.725193695910233
2011,1573,3654727.0,4.3040150468147145
2012,1523,3973913.0,3.832494571471494
2013,1623,4263084.0,3.807103026822835
2014,1630,4568664.0,3.567782616537351
2015,1646,4751130.0,3.4644389860938345
2016,1675,4960945.0,3.3763728483182134
2017,1483,5190704.0,2.8570305684932142
2018,1507,5498895.0,2.740550601529944
2019,1617,5718409.0,2.827709595448664
2020,1485,5591145.0,2.655985491343902
2021,1688,6102351.0,2.766147014486712
2022,1745,6251852.0,2.791172919640452
2023,1635,6538727.0,2.500486715533467
2024,1439,6727472.0,2.1389906936810736
2025,1507,7045952.073308869,2.138816705422598
