anio,urbana_siniestros,urbana_fallecidos,urbana_lesionados_graves,urbana_lesionados_menos_graves,urbana_lesionados_leves,urbana_total_lesionados,rural_siniestros,rural_fallecidos,rural_lesionados_graves,rural_lesionados_menos_graves,rural_lesionados_leves,rural_total_lesionados
2000,34947,788,5732,5239,24794,35765,5979,910,2358,1690,6845,10893
2001,39270,706,5241,4993,24929,35163,5561,856,2088,1574,6519,10181
2002,36247,707,5149,4665,24072,33886,5487,842,2168,1619,6449,10236
2003,38538,726,5246,4190,25099,34535,5912,977,2251,1582,6967,10800
2004,40462,749,4968,3732,26638,35338,6158,1008,2198,1600,7374,11172
2005,40218,640,4610,3589,28202,36401,6110,986,2234,1289,7868,11391
2006,38611,632,4465,3112,28378,35955,6228,1020,2050,1378,7642,11070
2007,45969,726,5075,3442,32727,41244,7713,919,2299,1535,8932,12766
2008,48626,773,5021,3508,33060,41589,8461,1009,2467,1611,9619,13697
2009,48909,606,4613,2954,32377,39944,7421,902,2135,1423,8673,12231
2010,49557,717,4674,2824,32371,39869,8189,878,2225,1497,9373,13095
2011,53319,691,4601,2920,32853,40374,9515,882,2123,1534,10181,13838
2012,52069,592,4397,2603,32282,39282,9722,931,2173,1317,10453,13943
2013,61275,634,5072,2910,35701,39282,12001,989,2358,1506,12045,13944
2014,65782,645,5049,2608,34497,42154,12663,985,2408,1404,11919,15731
2015,66816,635,5307,2423,34495,42225,13064,1011,2466,1368,11886,15720
2016,76564,565,6097,2823,36668,45588,15147,1110,2733,1521,13721,17975
2017,79544,573,6016,2752,36537,45305,15335,910,2518,1449,12899,16866
2018,74791,569,5489,2709,33646,41844,14520,938,2370,1383,12342,16095
2019,74906,620,5303,2587,32943,40833,15077,997,2449,1478,12989,16916
2020,51622,630,4304,2075,22078,28457,13085,855,2126,1303,10217,13646
2021,64063,668,5324,2488,27012,34824,16688,1020,2779,1654,12671,17104
2022,63544,519,4896,2137,23817,30850,22506,1226,3640,2004,16096,21740
2023,59737,533,4407,2003,21607,28017,18501,1102,3120,1611,12931,17662
2024,57143,466,3987,1801,19447,25235,18510,973,3036,1582,12547,17165
2025,54208,462,4029,1752,18664,24445,18873,1045,3031,1640,12589,17260
