anio,abonados_moviles,penetracion_cada_100_hab,atropello_siniestros,atropello_fallecidos,atropello_total_lesionados,peatones_fallecidos_calidad,peatones_total_lesionados_calidad
2000,3401525,22.009798510397616,9534,728,9484,743,9418
2001,5100783,32.6351016166643,8746,718,8823,741,8828
2002,6244310,39.52343083818931,8087,690,8124,705,7950
2003,7268281,45.535323845879496,8083,758,8110,786,7918
2004,9261385,57.45283182733469,8068,783,8089,816,7973
2005,10569572,64.93346078090524,7695,693,7808,712,7640
2006,12450801,75.74954140253747,7671,645,7833,667,7623
2007,13955202,84.0697837178734,8643,645,9032,660,8932
2008,14796593,88.23853577131314,8831,695,9231,713,9122
2009,16450223,97.09191236219141,8174,554,8399,575,8214
2010,19852242,115.97943031845989,8247,605,8479,627,8379
2011,22315248,129.04871307796296,8339,587,8464,608,8408
2012,23940973,137.04766448843773,8225,568,8340,583,8191
2013,23661339,134.05910198742419,8868,609,8992,631,8865
2014,23680718,132.67405069496573,8546,597,8563,615,8487
2015,23206353,128.48915474679256,8640,542,8771,564,8695
2016,23302603,127.19074827237766,8897,576,8997,603,8965
2017,23013147,123.726124486299,8899,524,8970,537,8953
2018,25178981,133.15926910900944,8315,511,8385,537,8324
2019,25051668,130.67376121437445,8110,525,8107,533,7802
2020,25068249,129.8877581537593,4148,383,4055,401,3999
2021,26571823,136.38262139594383,4782,378,4728,388,4641
2022,26418944,134.24352932520264,5945,448,5843,469,5715
2023,26710679,134.678859087796,5699,444,5631,457,5425
2024,25712695,128.71936702540447,5526,396,5376,404,5234
2025,23997113,119.40310471489029,5439,386,5449,400,5233
