anio,abonados_moviles,crecimiento_anual,penetracion_cada_100_hab
2000,3401525,,22.009798510397616
2001,5100783,0.4995576983852831,32.6351016166643
2002,6244310,0.2241865611612962,39.52343083818931
2003,7268281,0.1639846516268411,45.535323845879496
2004,9261385,0.274219447486964,57.45283182733469
2005,10569572,0.141251767419236,64.93346078090524
2006,12450801,0.17798535267085547,75.74954140253747
2007,13955202,0.12082764795614365,84.0697837178734
2008,14796593,0.06029228383795515,88.23853577131314
2009,16450223,0.11175748363153604,97.09191236219141
2010,19852242,0.20680686213189947,115.97943031845989
2011,22315248,0.12406689380474001,129.04871307796296
2012,23940973,0.07285265214171055,137.04766448843773
2013,23661339,-0.011680143492914796,134.05910198742419
2014,23680718,0.0008190153566540737,132.67405069496573
2015,23206353,-0.020031698363199957,128.48915474679256
2016,23302603,0.004147571141402517,127.19074827237766
2017,23013147,-0.012421616589357032,123.726124486299
2018,25178981,0.09411289990021787,133.15926910900944
2019,25051668,-0.005056320587397911,130.67376121437445
2020,25068249,0.0006618720957023427,129.8877581537593
2021,26571823,0.0599792191309414,136.38262139594383
2022,26418944,-0.00575342534834733,134.24352932520264
2023,26710679,0.011042644248006273,134.678859087796
2024,25712695,-0.037362734208291726,128.71936702540447
2025,23997113,-0.06672120522566771,119.40310471489029
