anio,lineas_fijas,penetracion_cada_100_hab
2000,3302498,21.367144835944547
2001,3478492,22.253568432039454
2002,3467013,21.942171740297557
2003,3252063,20.371846653331257
2004,3345102,20.751640585844687
2005,3460645,21.260951035203046
2006,3383597,20.585891691563006
2007,3459611,20.84449708773851
2008,3524790,21.021924400178946
2009,3555311,20.983022000264285
2010,3459367,20.21008075170954
2011,3370104,19.489256141759896
2012,3292502,18.84759276172736
2013,3347231,18.964555725458645
2014,3427749,19.20437313579842
2015,3445880,19.0791809707832
2016,3375037,18.421696557975118
2017,3200245,17.205552602460497
2018,2997192,15.850677042862467
2019,2750272,14.345886533486716
2020,2567938,13.30542511756
2021,2510972,12.887822698947524
2022,2216786,11.264234346334913
2023,1977657,9.971614290561218
2024,1736509,8.693073180929424
2025,1475783,7.343094649987894
