anio,trafico_voz_miles_minutos,trafico_voz_miles_llamadas
2000,2471208.2157333335,1658303.896
2001,3441736.1450000005,2537740.3809999996
2002,4464101.55835,3522332.682
2003,5237945.687899999,4189178.9250000003
2004,6003889.135966667,4892188.977
2005,7089121.670783333,5701629.504
2006,7881070.445072834,6261977.63854
2007,10857829.096883334,8350539.521
2008,14842544.991500001,10947742.161999999
2009,17315937.3696,12680562.090000004
2010,1640277.1484333328,1223639.9960000003
2011,1992134.6449166683,1493647.2930000008
2012,2312516.1043333346,1616767.964999998
2013,2645646.934550001,1762053.9949999966
2014,2403115.194133334,1751472.771999999
2015,2238025.0818666685,1625415.3309999988
2016,2382395.7165499995,1444455.2709999988
2017,2546979.1914833365,1416112.9109999991
2018,2767640.5884,1376150.635000002
2019,3154951.718916666,1408637.0919999988
2020,3163971.1651500007,1369669.1989999996
2021,3850339.3359499983,1320984.3949999998
2022,3650320.4172666627,1255032.4809999997
2023,3142126.4612333323,1123328.0779999937
2024,2778901.5295999995,1628719.7009999983
2025,2604643.9298,1028428.3189999977
2026,2226354.542233334,868361.94
